На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
08.06,2729.518,381586.56,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст30ХГСА,300мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,4.92
3.67,1156.138,180461.53,156090,155990,155890,ЧЕЛЯБИНСК,Круг Ст9ХС,290мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.25
5.69,2678.610,374469.75,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст18ХГТ,300мм,,ТУ14-1-2118-98 4543-2016 3ГП,Круг,4.75
4.18,276.888,106961.83,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,95,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.98
5.62,2757.257,336661.03,122100,122000,121900,ЛОБНЯ,Круг Ст35,300мм.,,"ГОСТ2590-2006, 1050-88",Круг,4.97
3.50,1431.900,214498.62,149800,149800,149800,ЧЕЛЯБИНСК,Круг Ст38хс,300мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,2.58
11.52,2846.555,356388.67,125200,125100,125000,ЛОБНЯ,Круг Ст40Х,300мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.13
0.69,27.048,3213.30,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
03.06,26.587,3222.34,121200,120890,120890,НОВОСИБИРСК,Круг Ст9ХС,28мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.5
2.76,22.575,2736.07,117200,116890,116890,ЧЕЛЯБИНСК,Круг Ст9ХС,28мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.67
2.89,23.768,2238.99,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,28мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.92
1.30,1306.393,182633.77,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст18ХГТ,290мм,,"ТУ14-1-2118,2590,4543-16 3ГП",Круг,2.52
0.21,29.077,1953.95,60200,60100,60000,ЛОБНЯ,Круг Ст45,28мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
4.28,27.096,3219.04,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.32,26.468,3202.68,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,28мм,НД,ГОСТ 7417-75,1050-2013,Круг
7.79,2790.000,310247.96,111200,111100,111000,ЛОБНЯ,Круг Ст40Х,290мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,5.37
6.42,2747.573,294265.07,107100,107000,106900,ЛОБНЯ,Круг Ст45,290мм.,3ГП,"ГОСТ 2590,1050 3ГП",Круг,5.3
0.30,259.205,28279.27,107100,107000,106900,ЛОБНЯ,Круг Ст20,290мм.,,ТУ14-1-2118-98 ГОСТ1050 ЗГП,Круг,0.5
8.14,2766.270,386724.55,139800,139800,139800,ЧЕЛЯБИНСК,Круг ст30ХГСА,290мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,5.33
5.27,2702.000,289384.18,107100,107000,106900,ЛОБНЯ,Круг Ст35,290мм.,3ГП,"ГОСТ 2590,1050-88",Круг,5.21
3.42,1588.140,222164.90,139890,139890,139890,ЧЕЛЯБИНСК,Круг Ст38хс,290мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,03.06
2.85,33.300,3922.74,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
32.36,33.688,2145.96,59200,59100,59000,ЛОБНЯ,Круг Ст3,30мм,(6+нд),ГОСТ 2590,Круг,06.07
0.71,33.522,2168.87,60200,60100,60000,ЛОБНЯ,Круг Ст35,30мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
3.59,33.688,4076.31,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
03.04,33.300,3922.74,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
5.81,32.190,2507.28,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,30мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.8
3.78,28.022,3160.93,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,30мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,05.05
12.72,33.466,2165.28,60200,60100,60000,ЛОБНЯ,Круг Ст35,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
11.94,337.197,21479.42,62200,62100,62000,ЛОБНЯ,Круг Ст45,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.06
17.00,2746.161,335306.26,122100,122000,121900,ЛОБНЯ,Круг Ст45,300мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050 3ГП,Круг,4.95
03.07,30.691,3615.46,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.10,33.300,4375.62,126900,126800,126700,ЛОБНЯ,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.26,22.755,2753.35,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,30мм,НД,ГОСТ 7417-75,1050-2013,Круг
27.65,33.522,2168.87,60200,60100,60000,ЛОБНЯ,Круг Ст20,30мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
1.41,42.994,5202.26,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,34мм,НД,ГОСТ 7417-75,1050-2013,Круг
5.12,43.136,4360.67,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,34мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.05
21.52,42.780,2896.21,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,34мм.,,"ГОСТ2590,4543-2016",Круг,6
3.89,42.780,3332.13,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,34мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
20.37,42.923,2777.09,60200,60100,60000,ЛОБНЯ,Круг Ст45,34мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
2.00,40.054,5078.81,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.26,37.773,4646.09,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
5.62,38.486,4880.00,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,34мм,НД,ГОСТ 7417-75,4543-2016,Круг
3.50,242.015,26645.85,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,90мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,4.85
