2.64;37.514;3496.27;90200;89890;89890;ЧЕЛЯБИНСК;Круг СтУ8А;35мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;4.97;
5.83;38.760;15038.88;385000;385000;385000;ЧЕЛЯБИНСК;Круг СтХВГ;35;;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;5.1;
3.34;301.138;22853.38;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;90мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6.03;
2.42;2356.349;184973.38;78500;78500;78500;НОВОСИБИРСК;Круг Ст40Х;350мм;3ГП;ТУ14-1-2118-98 А_;Круг;3.12;
10.14;2538.828;378006.04;148890;148890;148900;ЧЕЛЯБИНСК;Круг ст30ХГСА;350мм;;ТУ 14-1-2118-98,4543-2016 3ГП;Круг;3.4;
3.50;242.015;26645.85;108800;108800;108800;ЧЕЛЯБИНСК;Круг Ст30ХМА;90мм;;ГОСТ 2590-2006,4543-2016, 2ГП;Круг;4.85;
3.45;39.627;4644.28;117200;116890;116890;НОВОСИБИРСК;Круг Ст9ХС;35мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5.25;
4.11;39.627;4604.66;113200;112890;112890;ЧЕЛЯБИНСК;Круг Ст9ХС;35мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5.25;
5.92;37.860;2948.92;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;32мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6;
4.21;36.913;3547.02;93090;92990;92890;ЧЕЛЯБИНСК;Круг Ст38хс;32мм;;ГОСТ 2590-2006, 4543-2016, 2ГП;Круг;5.85;
3.25;193.768;35226.95;180500;179890;179890;ЧЕЛЯБИНСК;Круг СтШХ15-В;90 мм;;ГОСТ 2590-2006 801-2022, ОГ,В1;Круг;3.9;
4.16;214.613;25152.64;117200;116890;116890;НОВОСИБИРСК;Круг Ст9ХС;90мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;4.3;
4.58;244.510;94454.21;385000;385000;385000;ЧЕЛЯБИНСК;Круг СтХВГ;90;обточка;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;4.9;
5.46;214.613;24573.19;113200;112890;112890;ЧЕЛЯБИНСК;Круг Ст9ХС;90мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;4.3;
7.96;2751.100;409611.28;148890;148890;148900;ЧЕЛЯБИНСК;Круг ст30ХГСА;330мм;;ТУ 14-1-2118-98,4543-2016 3ГП;Круг;4.1;
10.80;2812.400;418738.24;148890;148890;148900;ЧЕЛЯБИНСК;Круг ст30ХГСА;340мм;;ТУ 14-1-2118-98,4543-2016 3ГП;Круг;3.95;
3.82;30.919;3623.71;117200;116890;116890;НОВОСИБИРСК;Круг Ст9ХС;32мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;4.9;
4.68;30.919;3592.79;113200;112890;112890;ЧЕЛЯБИНСК;Круг Ст9ХС;32мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;4.9;
4.67;30.540;2846.37;93200;92890;92890;НОВОСИБИРСК;Круг СтУ8А;32мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;4.84;
6.68;30.564;2848.57;90200;89890;89890;ЧЕЛЯБИНСК;Круг СтУ8А;32мм;;ГОСТ 2590-2006, 1435-99 2ГП;Круг;4.87;
1.88;1414.002;168110.67;118890;118890;118890;ЧЕЛЯБИНСК;Круг ст30ХГСА;250мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;3.72;
1.76;1703.203;202493.78;118890;118890;118890;ЧЕЛЯБИНСК;Круг ст30ХГСА;250мм;;ГОСТ 2590-2006,4543-2016 3ГП;Круг;4.42;
9.39;1128.050;146522.41;129890;129890;129890;ЧЕЛЯБИНСК;Круг Ст38хс;250мм;;ГОСТ 2590-2006, 4543-2016, 3ГП;Круг;2.93;
11.69;935.620;121995.49;129890;129890;129890;ЧЕЛЯБИНСК;Круг Ст38хс;230мм;;ГОСТ 2590-2006, 4543-2016, 3ГП;Круг;2.87;
8.15;1309.315;168639.75;128800;128800;128800;ЧЕЛЯБИНСК;Круг Ст30ХМА;230мм;;ГОСТ 2590-2006,4543-2016, 3ГП;Круг;4.03;
13.93;1715.549;203961.62;118890;118890;118890;ЧЕЛЯБИНСК;Круг ст30ХГСА;230мм;;ГОСТ 2590-2006,4543-2016 3ГП;Круг;5.26;
5.16;1399.183;166348.93;118890;118890;118890;ЧЕЛЯБИНСК;Круг ст30ХГСА;230мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;4.29;
9.49;23.254;2257.73;93090;92990;92890;ЧЕЛЯБИНСК;Круг Ст38хс;25мм;;ГОСТ 2590-2006, 4543-2016, 2ГП;Круг;6.04;
7.76;23.100;1822.36;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;25мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6;
3.79;19.250;2171.40;108800;108800;108800;ЧЕЛЯБИНСК;Круг Ст30ХМА;25мм;;ГОСТ 2590-2006,4543-2016, 2ГП;Круг;5;
4.83;2149.081;330937.01;153990;153890;153890;ЧЕЛЯБИНСК;Круг Ст9ХС;250мм;;ГОСТ 2590-2006, 5950-2000 2ГП;Круг;5.58;
2.55;1116.500;474512.50;425000;425000;425000;ЧЕЛЯБИНСК;Круг СтХВГ;250;;ГОСТ 2590-06,5950-2000,2ГП,Т/О;Круг;2.9;
0.11;21.300;1680.36;74890;74890;74890;ЧЕЛЯБИНСК;Круг ст30ХГСА;24мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6;
3.64;15.545;2868.09;180500;179890;179890;ЧЕЛЯБИНСК;Круг СтШХ15-В;24 мм;;ГОСТ 2590-2006 801-2022, ОГ,В1;Круг;4.4;
6.19;1703.203;199087.38;116890;116890;116890;ЧЕЛЯБИНСК;Круг ст18ХГТ;250мм;;ГОСТ 2590-2006 4543-2016 3ГП;Круг;4.42;
6.87;1710.910;199988.22;116890;116890;116890;ЧЕЛЯБИНСК;Круг ст18ХГТ;250мм;;ГОСТ 2590-2006 4543-2016 2ГП;Круг;4.44;
6.64;1700.450;198765.60;116890;116890;116890;ЧЕЛЯБИНСК;Круг ст18ХГТ;240мм;;ГОСТ 2590-2006 4543-2016 3ГП;Круг;4.79;
10.79;1810.500;211629.34;116890;116890;116890;ЧЕЛЯБИНСК;Круг ст18ХГТ;240мм;;ГОСТ 2590-2006 4543-2016 2ГП;Круг;5.1;
9.70;1652.000;196406.30;118890;118890;118890;ЧЕЛЯБИНСК;Круг ст30ХГСА;240мм;;ГОСТ 2590-2006,4543-2016 3ГП;Круг;4.57;
0.69;690.001;82517.18;118890;118890;118890;ЧЕЛЯБИНСК;Круг ст30ХГСА;240мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;1.99;
